"","Dim.1","Dim.2"
"Soil_Temp",9.06152190272907,2.36896757196074
"Water_content",10.0178691432444,3.51434594486198
"SOM",13.5104937256742,1.03493195384252
"pH",3.0580472272914,4.73049064136866
"TOC",13.1102316777815,1.4954132431538
"TC",8.1504808582106,4.81403349319999
"TN",13.2478602704429,0.708381195098794
"C_N",3.73411579567791,3.40559931565993
"NH4",5.2899094794432,3.65311460414227
"PO43",3.42705261333955,0.00811427818053443
"SO42",0.69674417027772,5.90802319650498
"Sand",2.93555173375841,9.25321655611335
"Silt",0.000180848292725049,18.7158724732275
"Clay",9.00626111587682,0.140710574018094
"Litter",2.88785840900377,0.285177972876308
"FI",0.736173223556831,14.1108033984826
"Peak_A",0.586016689641069,8.49255072388128
"Peak_T",0.0946810484755661,17.1414252071587
"HIX",0.448950067282376,0.218827656267967
